epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.356,1.69172,4.74136,1.67484,0,0,0,0,1.83705,5.09286,1.91053,3.234e-05,3.234e-05,3.234e-05
2,883.417,1.57585,4.63829,1.58818,0,0,0,0,1.72418,5.06295,1.80443,6.53885e-05,6.53885e-05,6.53885e-05
3,1306.23,1.46146,4.42744,1.47967,0.05882,0.00267,0.03075,0.01845,1.65715,4.99972,1.71689,9.61086e-05,9.61086e-05,9.61086e-05
4,1593.44,1.48102,4.1854,1.4833,0.02806,0.10428,0.04182,0.02604,1.64442,4.9232,1.70309,0.0001245,0.0001245,0.0001245
5,1792.35,1.45631,3.79729,1.45837,0.04384,0.14361,0.07719,0.04694,1.69666,4.78154,1.72059,0.000150563,0.000150563,0.000150563
6,8063.11,1.42492,3.50627,1.36336,0.11441,0.27356,0.18064,0.10001,1.72297,4.54877,1.73446,0.000174298,0.000174298,0.000174298
7,8306.77,1.47834,3.23312,1.44735,0.79301,0.09649,0.19291,0.10683,1.74273,4.19471,1.73502,0.000195704,0.000195704,0.000195704
8,8497.37,1.40758,2.89672,1.42788,0.65071,0.17097,0.24093,0.13916,1.72023,3.92067,1.7187,0.000214782,0.000214782,0.000214782
9,8660.06,1.38495,2.6338,1.36925,0.70101,0.20754,0.24795,0.14668,1.71451,3.64412,1.70606,0.000216384,0.000216384,0.000216384
10,8835.03,1.4015,2.58633,1.38137,0.52025,0.29544,0.27919,0.15528,1.70481,3.37795,1.71746,0.000206682,0.000206682,0.000206682
11,9034.53,1.3585,2.37049,1.39474,0.44673,0.32347,0.28958,0.1658,1.70553,3.20096,1.7432,0.00019698,0.00019698,0.00019698
12,9240.16,1.30738,2.29549,1.34317,0.60718,0.38642,0.30341,0.17348,1.71406,3.01572,1.75965,0.000187278,0.000187278,0.000187278
13,9447.42,1.33724,2.19258,1.35277,0.67537,0.38037,0.34059,0.19507,1.73457,2.8772,1.79981,0.000177576,0.000177576,0.000177576
14,9629.54,1.32582,2.08289,1.36498,0.65895,0.39377,0.37465,0.20868,1.73228,2.77265,1.785,0.000167874,0.000167874,0.000167874
15,9811.21,1.31148,2.03978,1.34213,0.67233,0.41353,0.40074,0.22591,1.71505,2.74512,1.7722,0.000158172,0.000158172,0.000158172
16,10091.1,1.28524,1.93764,1.33396,0.66368,0.41005,0.42447,0.24579,1.71415,2.78021,1.77123,0.00014847,0.00014847,0.00014847
17,10263.8,1.26652,1.94483,1.32999,0.65599,0.43476,0.42941,0.2507,1.69785,2.7132,1.7681,0.000138768,0.000138768,0.000138768
18,10394.4,1.28008,1.8581,1.33959,0.66786,0.41132,0.42907,0.25436,1.72271,2.69284,1.78273,0.000129066,0.000129066,0.000129066
19,10539,1.2299,1.75635,1.3076,0.70501,0.39599,0.44017,0.26286,1.71426,2.69802,1.78529,0.000119364,0.000119364,0.000119364
20,10666.8,1.23936,1.72071,1.29464,0.62025,0.44746,0.45121,0.26486,1.71022,2.65895,1.78954,0.000109662,0.000109662,0.000109662
21,10799.3,1.2559,1.80048,1.37267,0.64311,0.44426,0.45963,0.2628,1.72713,2.61865,1.80344,9.996e-05,9.996e-05,9.996e-05
22,10928.3,1.24184,1.69907,1.33169,0.57014,0.44296,0.46522,0.26335,1.76061,2.55496,1.81802,9.0258e-05,9.0258e-05,9.0258e-05
23,11065.8,1.19574,1.66775,1.32762,0.53547,0.48974,0.49443,0.29983,1.73316,2.47274,1.78816,8.0556e-05,8.0556e-05,8.0556e-05
24,11180.9,1.21214,1.6636,1.3009,0.60346,0.44983,0.49441,0.30147,1.70241,2.38286,1.77288,7.0854e-05,7.0854e-05,7.0854e-05
25,11302.4,1.21247,1.62442,1.32683,0.6019,0.44164,0.48786,0.29197,1.69858,2.37856,1.77415,6.1152e-05,6.1152e-05,6.1152e-05
26,11420.4,1.21603,1.71356,1.35649,0.65278,0.44342,0.49269,0.29353,1.69662,2.40802,1.77319,5.145e-05,5.145e-05,5.145e-05
27,11541.9,1.18497,1.59261,1.30685,0.58869,0.45668,0.49064,0.29624,1.68787,2.38235,1.76613,4.1748e-05,4.1748e-05,4.1748e-05
28,11654.3,1.18219,1.55968,1.26281,0.61564,0.45432,0.49442,0.29645,1.66933,2.32567,1.75025,3.2046e-05,3.2046e-05,3.2046e-05
29,11784.2,1.14964,1.54593,1.29351,0.57021,0.47631,0.49371,0.2916,1.67676,2.31276,1.75196,2.2344e-05,2.2344e-05,2.2344e-05
30,11938.8,1.15384,1.53317,1.29783,0.5833,0.47428,0.50648,0.29688,1.67146,2.30979,1.74269,1.2642e-05,1.2642e-05,1.2642e-05
